scenario,scenario_description,horizon_years,target_year,model_family,simulation_win_share,simulated_score_mean,simulated_score_p10,simulated_score_p90,draws,method,analysis_captured_at
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",2,2028,Cohere,0.0,-0.03,-3.71,3.58,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,GPT,0.5336666666666666,78.64,73.97,83.22,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,Qwen,0.4663333333333333,78.17,73.54,82.71,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,Mistral,0.0,52.57,47.68,57.29,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,Claude,0.0,55.85,51.29,60.38,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,Llama,0.0,49.47,44.08,54.9,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,DeepSeek,0.0,51.19,46.27,56.14,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,Gemini,0.0,52.18,47.35,56.99,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,Gemma,0.0,42.21,37.09,47.37,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,Phi,0.0,31.18,26.13,36.36,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,Grok,0.0,30.73,26.07,35.4,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,Command,0.0,19.25,14.18,24.49,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",5,2031,Cohere,0.0,0.0,-4.38,4.26,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,Qwen,0.5613333333333334,78.85,73.1,84.55,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,GPT,0.43866666666666665,77.84,72.05,83.7,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,Mistral,0.0,55.17,49.13,61.22,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,Claude,0.0,55.54,49.85,61.2,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,Llama,0.0,53.29,46.99,59.61,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,DeepSeek,0.0,54.32,48.32,60.29,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,Gemini,0.0,49.89,43.87,55.74,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,Gemma,0.0,45.56,39.43,51.73,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,Phi,0.0,34.61,28.26,40.95,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,Grok,0.0,29.44,23.61,35.18,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,Command,0.0,21.03,14.75,27.31,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
balanced_lab_execution,"Who can lead considering current quality, execution velocity, ecosystem, product surface and economics.",10,2036,Cohere,0.0,-0.03,-5.53,5.54,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,GPT,0.708,78.1,74.22,82.02,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,Qwen,0.292,75.83,71.93,79.77,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,Mistral,0.0,46.0,42.09,49.96,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,Claude,0.0,57.94,54.11,61.81,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,Llama,0.0,41.09,36.48,45.61,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,DeepSeek,0.0,43.54,39.48,47.68,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,Gemini,0.0,55.87,51.96,59.7,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,Gemma,0.0,34.73,30.47,38.9,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,Phi,0.0,23.53,19.32,27.73,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,Grok,0.0,34.5,30.72,38.27,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,Command,0.0,16.15,12.04,20.31,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",2,2028,Cohere,0.0,0.03,-3.63,3.69,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,GPT,0.6116666666666667,77.69,73.14,82.3,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,Qwen,0.3883333333333333,76.3,71.83,80.78,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,Mistral,0.0,48.04,43.4,52.72,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,Claude,0.0,57.49,52.88,62.0,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,Llama,0.0,44.62,39.41,49.88,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,DeepSeek,0.0,46.32,41.56,51.16,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,Gemini,0.0,54.31,49.76,58.98,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,Gemma,0.0,37.46,32.39,42.43,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,Phi,0.0,26.39,21.42,31.31,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,Grok,0.0,33.49,29.02,38.09,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,Command,0.0,17.48,12.65,22.35,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",5,2031,Cohere,0.0,0.04,-4.43,4.38,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,GPT,0.527,77.15,71.34,82.92,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,Qwen,0.473,76.71,70.95,82.43,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,Mistral,0.0,50.23,44.27,56.0,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,Claude,0.0,57.11,51.46,62.72,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,Llama,0.0,48.08,41.63,54.4,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,DeepSeek,0.0,49.07,43.13,55.03,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,Gemini,0.0,52.74,46.83,58.53,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,Gemma,0.0,40.13,34.26,46.07,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,Phi,0.0,29.22,23.25,35.36,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,Grok,0.0,32.58,26.92,38.35,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,Command,0.0,18.62,12.61,24.59,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
frontier_quality,"Who is most likely to create the raw frontier-best model; performance, release cadence and capability surface dominate.",10,2036,Cohere,0.0,0.01,-5.5,5.52,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,Qwen,0.6066666666666667,79.42,75.64,83.23,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,GPT,0.3933333333333333,78.28,74.14,82.37,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,Mistral,0.0,55.85,51.5,60.16,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,Claude,0.0,55.63,51.77,59.52,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,Llama,0.0,52.94,47.86,57.94,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,DeepSeek,0.0,54.05,49.69,58.4,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,Gemini,0.0,50.86,46.59,55.12,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,Gemma,0.0,46.05,41.3,50.83,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,Phi,0.0,34.95,30.18,39.7,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,Grok,0.0,28.88,24.87,32.85,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,Command,0.0,21.65,16.98,26.4,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,2,2028,Cohere,0.0,0.0,-3.65,3.63,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,Qwen,0.6651666666666667,80.05,75.4,84.64,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,GPT,0.3348333333333333,77.88,73.23,82.57,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,Mistral,0.0,58.31,53.3,63.33,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,Claude,0.0,55.22,50.64,59.69,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,Llama,0.0,56.66,51.19,62.15,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,DeepSeek,0.0,57.1,52.07,62.02,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,Gemini,0.0,49.13,44.09,54.14,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,Gemma,0.0,49.11,43.75,54.45,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,Phi,0.0,37.98,32.62,43.47,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,Grok,0.0,27.7,22.99,32.35,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,Command,0.0,22.76,17.2,28.28,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,5,2031,Cohere,0.0,0.01,-4.41,4.31,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,10,2036,Qwen,0.7406666666666667,81.02,75.47,86.6,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,10,2036,GPT,0.259,76.95,71.13,82.78,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,10,2036,Mistral,0.00016666666666666666,61.19,55.1,67.17,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,10,2036,Llama,0.00016666666666666666,60.29,53.87,66.73,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,10,2036,Claude,0.0,55.04,49.36,60.81,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,10,2036,DeepSeek,0.0,60.08,54.04,66.26,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
open_ecosystem_upside,Which family could win if open distribution and low cost compound; this is not the same as raw frontier-best.,10,2036,Gemini,0.0,47.12,41.12,53.13,6000,Dirichlet component-weight sensitivity with scenario-specific weights and evidence noise; no arbitrary horizon bonus.,2026-05-16T11:27:28+00:00
